SuperTopic,Category,Id,Url,Influence,Follower
人来人往语你同行,0,0,100808460a522c48bc8781e88f92649b57632f,20000,30000
澜墨lanmeoo,0,1,1008081843038def764d028b77a0dc1b36239b,225,200
沈括,0,2,1008083129cd49c2a562405a9bbe0abc7d0ac0,6547,20000
AKB48TeamSH,0,3,10080835720d812947b45c46e9902fab2c1768,10000,9540
姜之鱼,0,4,100808b9a6908cc1d1a91249f602ee1b72624c,2276,11000
如懿传,0,5,10080821e380312347158ada5a9f6a965f6789,67000,47000
不健全关系,0,6,10080826392517db2836d4701332bc670e1c09,20000,849000
车银优,0,7,100808a00f17a0ea89809c11926d861b3208af,156000,291000
hanser,0,8,100808bb3bdea1fba9b8b940c3cb788d3f0aae,27000,26000
杨紫林之校,0,9,1008081d2625e817ea950bd88b4f821fe39fe6,12000,36000
FF14,0,10,10080893149e78e40bed1d25d9621557326ea4,20000,36000
aeternity,0,11,1008087616269fc337fa6b778e2cbe63daf20,3735,5674
花花与三猫,0,12,100808e37a99650060a0c3cbaa5b97bdd861e2,7146,31000
西北民族大学,0,13,100808ae50ad71f8cbdf0833e83008f8c29c32,40000,37000
少女时代,0,14,10080859a6b19a0e84d23fd383808ae859ec23,158000,189000
中牌制服馆,0,15,1008082dc8bef99fe525eaae90cb77cd06f341,8545,89000
英国短毛猫,0,16,100808d2a4e7e5f904f76d96469076d41fafae,27000,34000
周杰伦,0,17,1008087a8941058aaf4df5147042ce104568da,2562000,6026000
炉石传说,0,18,10080881ba82b61fd26fdcf9fdac6ae7544411,63000,104000
币客bkex,0,19,100808b0b67d4a7b26b5c396a9e34ce42736fc,2895,16000
原神,1,20,100808fc439dedbb06ca5fd858848e521b8716,1140000,3440000
王者荣耀,1,21,100808ccb61d96c8f867d4f6c412e95c4f173a,3250000,4410000
XYG电子竞技俱乐部,1,22,100808ae218adaa2079bc0d17bea593a2f40a2,510000,290000
sky光遇,1,23,1008083829ec9f6d5c6b53889bd24dfb2eac1c,2420000,1630000
光与夜之恋,1,24,10080864eeb90c049c2e6f19f614bf63b6fe8e,520000,1270000
sky光遇黑市,1,25,10080823141baaf78c19385185aba92be5a437,2590000,1090000
哈利波特魔法觉醒,1,26,1008085e4724f4e5a15ff602f6f0a547331b68,870000,1250000
偶像梦幻祭,1,27,100808875a090e1c1afb167b6ce26f0794ea80,1050000,770000
光遇陪玩,1,28,100808157446cb3d9a51022efefad4775b8a9b,450000,130000
闪耀暖暖,1,29,1008080adacb5621aef3290d9fa38b7ced8ab0,2500000,2090000
第五人格,1,30,1008088fef4f8eac269bed1cd09eb50312ce52,1280000,1250000
EDG,1,31,1008085852145e5c27adc0617ec5a0a8b8b7e4,380000,2140000
时空中的绘旅人,1,32,100808c0d76460acd8c3aa1032c33003b48033,350000,2670000
未定事件簿,1,33,100808c7ce355fcf6334f03ebac7cad51ef135,400000,480000
和平精英,1,34,10080811d6e5c3b8641062e9ae6b7b26604ba5,740000,950000
AG超玩会,1,35,100808e42ac86fcd4c91f965e34411bd21f0b0,950000,1320000
阴阳师手游,1,36,1008089f43a6f58e2801c14726c9cc51cabd22,1310000,1630000
主播BLUE,1,37,100808060d555cd15ac4aad2c86507729d8664,350000,480000
齐司礼,1,38,10080867d1f6a5b046e124c7ed995e2555361d,60000,200000
恋与制作人,1,39,1008086a8d30da45d91717a596df498af918aa,950000,1010000
景向谁依,2,40,10080853ce193d0c2bb50c2e51b76cd250f6f7,160000,930000
cv倒霉死勒,2,41,10080873c77aba022d7cee9917099af810c5dc,100000,740000
同人cp日推,2,42,10080892414f10f9f3a0578d256ef036d10c71,60000,8680000
cv天空,2,43,1008082ba5e510c9302a0fe648e63550974085,140000,700000
cv羊仔,2,44,100808501c1804abcc9db2aecb50798047abb1,100000,1190000
天官赐福动画,2,45,100808b1ef718d9847a05354b64e7e3324317b,50000,890000
名侦探柯南,2,46,100808167de8f857d9ed4ff9d097dc0b425e66,200000,1180000
luxiem,2,47,1008080eafd6052ec1ea0f7c32c97962b4ad6e,10000,250000
排球少年,2,48,100808641b22edd028c2479388ecdabda9a09f,70000,500000
咒术回战,2,49,100808a66ef4735b70edf7a598d43d959414b0,50000,390000
五悠,2,50,1008080969ba401c4478d69af8cd3180e477f0,30000,130000
配音演员赵成晨,2,51,10080828520a8ccf4083ce85704e2e1fa53d30,30000,50000
Laser激光,2,52,100808700e87892a1d3caa3c765ac9d28cabb2,40000,100000
虎杖悠仁,2,53,100808df833a1f91a02f071d56400685d27333,7412,30000
时光代理人,2,54,100808ce76733bde92b354ebad04fa2b71045c,30000,4280000
天官赐福漫画,2,55,1008084883380a8a254f8719f05df7f7004a3e,60000,720000
鬼灭之刃,2,56,100808ffc1ffe8d82a125785f9bd0cfb10ebf7,60000,590000
voxakuma,2,57,1008082dd22adb78c5f6d1a83e9fd323425528,4367,70000
轩ZONE,2,58,1008087d22807340b0e4e402ba49d949a968ad,50000,180000
ASOUL,2,59,10080861838dd4bdf01b1414e70089ca10d776,100000,500000
电视剧余生请多指教,3,60,1008082fadc0b6b05461031f551653a1083f24,750000,1370000
韩剧语义错误,3,61,100808908f8833ebf66845c1af5a16ea94ccb7,40000,160000
电视剧与君初相识,3,62,100808b913464276ebaebc92145addf8c8fdf0,80000,170000
电视剧驭鲛记之与君初相识,3,63,100808696160187d0d58201a50d9a20f118c8d,90000,160000
日剧美丽的他,3,64,10080828b01673ec4544762f8ef1e11c1308d5,90000,580000
猎罪图鉴,3,65,1008086b198524bce1cc98cee2f149258c0fac,10000,70000
陈情令,3,66,100808dd1f8a8d457e846a51935f95dc10547a,490000,2480000
玉骨遥,3,67,10080894e2e08dbedd41d6828a1c2148a4aa76,470000,1220000
泰版流星花园,3,68,100808fadc2dae28a958363abc05140f5e5d31,7076,90000
王牌部队,3,69,1008082a28929db5bedb671ee527bbbab3d9b8,890000,340000
韩剧二十五二十一,3,70,1008089ef596663fcc9fdb7383879c1655f775,9455,70000
梦中的那片海,3,71,100808386fac0fea3a017ce5c8f2c6e3514bb2,100000,160000
斗罗大陆剧版,3,72,1008087a0bb42eef0679de947fd27b03509351,360000,600000
网剧一闪一闪亮星星,3,73,1008084d95f4608458dfa2440305be950df749,50000,290000
电视剧尚食官方,3,74,100808f9d721304cdabbc85aa1bc965ccd9b39,10000,80000
电视剧周生如故,3,75,100808b6f3bf774d58c82808e3b1c8a01b62a0,120000,260000
社内相亲,3,76,100808a22beba5e5aa26bb090de0615f7848ea,3506,10000
天府泰剧,3,77,100808f9c6fa463503c4ad33eb3cd4648ad7b4,50000,840000
致我的星星,3,78,1008086fd7e3e86af3867243fa0b96c212fe07,6892,10000
冰雨火,3,79,10080800ead00ddef6651c85f078da3ee4ef51,90000,810000
王牌对王牌,4,80,100808f9cfac98b36e0c15f7aac8718cefa1ad,40000,580000
巴啦啦能量cp,4,81,10080888923ec449ba2522e54abe828fc45c85,50000,350000
明星大侦探,4,82,100808433f1faf0a7d11bd52f21c500e49348e,130000,900000
名侦探学院,4,83,100808c53e4c15932fbfe7849accbe23455883,140000,620000
声入人心,4,84,1008089467b36d0dd195b04cf37d6933b3c556,540000,3400000
密室大逃脱,4,85,1008087c5da61134bfe4ba31fe67b0064cc21a,40000,14900000
文韬Stefan,4,86,100808d119290de081aff180b9021f7fdd8dbf,70000,260000
开始推理吧,4,87,100808c1a4726139f6ef34de5c051e24a25d14,9539,30000
天天向上,4,88,1008087a7fce64ecf1df09bdf52a46e5d7845a,60000,1090000
你好星期六,4,89,10080827d8abae2f87b1d75c002888abfe2f62,1984,180000
瑞历cp,4,90,100808863917e27d49220215c3f2e694c82bd2,6410,60000
偶像练习生,4,91,100808a81d75bf47d815d5c4190a1d9146da9f,40000,9070000
天赐的声音,4,92,1008084b48e38251f14ae217f091d864c6d108,5996,9769
奔跑吧,4,93,10080898be6daf51ddcae1b301f07ddcf6a500,40000,1030000
王勉,4,94,1008088d4f2d8cc54166193131b5821fdd4c50,20000,160000
王能能terrence,4,95,100808d252996433cf4a1a80f1790562de5b14,9891,70000
极限男人帮,4,96,1008082ce9109fa1f549192b098d6552653480,90000,170000
朱广权,4,97,1008083d92a0be59e2892591dc4a8acb67fe89,40000,6350000
那战队,4,98,100808753c52efe60198b1002f473f5f050e0a,50000,140000
这就是街舞4,4,99,100808327df1a45d3799bf496672591f47f13d,60000,670000
羽生结弦,5,100,10080885eb7f6b5025d657a6cfba56ca98d74e,420000,1420000
樊振东,5,101,1008080391332928de4da0860b025d281356e1,360000,600000
孙颖莎,5,102,100808a9fc59651c0baff67337f98b9717ad55,190000,650000
谷爱凌,5,103,1008088616ab8d92ea44d200b2b2df4eaa381f,30000,810000
马龙,5,104,100808b8d3e8f0809b0ff26368935017004c04,320000,890000
林孝埈,5,105,100808e378be8a31cda31e41cb5bb8907b75ed,10000,520000
冰墩墩,5,106,100808a5629abac4ca007464990430ea368f3b,80000,710000
AnnaShcherbakova,5,107,10080885da7ea7ffec794f3271c43846b862e1,10000,450000
王曼昱,5,108,10080882ffd0ea1053ef97bd1ab74777340a4a,60000,290000
王濛,5,109,100808fc054b7e6d686222b9a9dfa0c2c892ac,30000,430000
王楚钦,5,110,100808b10dadcd006e6e0226632b9191f2bb49,70000,350000
alexandratrusova,5,111,1008089177b70556de70fee87d4658488c5bc6,10000,410000
赵睿,5,112,10080883a6f2152660cc585d823e5837adce18,140000,470000
武大靖,5,113,1008088d4deb1f72aceaed80b6704066abdb05,20000,570000
Kamila_Valieva,5,114,10080899da3c6134710d70251689d2fe24285c,7616,250000
苏翊鸣,5,115,100808c2536af255b49d00c76431d753c4e892,10000,540000
林高远,5,116,100808cb943481ce0aa29b9c96601a72ed15d9,50000,330000
张继科,5,117,1008080be2fbe708a68bd4f8c945964558eee8,750000,770000
任子威,5,118,1008087856b9eadc93304aa36ee65f7583900d,10000,520000
金博洋,5,119,100808fcfed7f927baa91963eec290c430d125,40000,500000
健身,6,120,100808c24d6f13a44a53dcaff9093c7ce4f879,310000,4550000
减肥,6,121,10080851192f0f0b385a6f6cf50873453aac20,300000,540000
跑步,6,122,1008087b385d028431e67f05b066b9feaf66a9,130000,5400000
耿浩伦real,6,123,100808d7af6643039e77045b61622dee8871b0,7170,2850000
keep,6,124,10080818ccf61d533b600bbf5a963359223fe4,40000,1040000
瑜伽,6,125,1008085a78432c4d267f537e28295e638586e1,60000,170000
运动就是坚持,6,126,10080804c8a8072bf74ee060e2ed8536b4903d,40000,80000
大学生健美健身,6,127,1008082e706762727806e638dd8ae9ea8aab18,3436,7475
亚洲有型男,6,128,1008086fcc99da5675e6676ce08f77442bb709,840,2545
自律打卡孙叨叨,6,129,100808dfd34afabf16b0e83b6bca86d8fa13e6,2637,8832
减肥打卡,6,130,100808980bfd591f6a887238dca69d2218df89,70000,60000
卤水二妹姐,6,131,10080822f1e6b4d0e426d98830a701115a9b25,6922,20000
21天减肥法,6,132,100808d29da89b58bc0f307cc396b61cb91766,40000,100000
运动打卡,6,133,1008080f7b92fb313170b42c4a22334987f515,30000,20000
减脂,6,134,100808f1313ecdbac135022964434a1700dfc0,9545,20000
瘦腿,6,135,100808a57903be248dd697bc36b2f2ca1605f0,20000,1360000
跑步打卡,6,136,100808531ac2856dc30302cef4fca5d13ffb50,30000,10000
瘦身,6,137,100808c44ef451c82feeff4c9262d8fe2a46ed,40000,100000
帕梅拉Pamela,6,138,100808e8fcb4e2e9aefe57c6e5783494ed7adf,5120,8421
晒身材大赛,6,139,100808d5380159b0c10d65ed6d4f2d2432c659,10000,30000
郑州大学,7,140,1008087d745a2727eb784aa08de3827162e502,70000,80000
长治幼儿师范高等专科学校,7,141,10080858082168bd2ffaa9ece7022040d39f5a,703,2099
南阳科技职业学院,7,142,100808246ff9788e5f992aba765f48cd153947,488,1750
安徽农业大学,7,143,100808df08ca1e035d6cccf9f0bf80a9db697c,10000,10000
天津开学,7,144,100808e096e04ecd423bf034a464e7d432a1f2,10000,10000
烟台职业学院,7,145,10080832a1ee24273dc4fe409bb5a868225d02,4006,9115
河南财经政法大学,7,146,1008083b93c5599c41438f7886b55f523dd50d,30000,30000
山东第一医科大学,7,147,10080839d47992917ba9a8dfcb0897421b9521,40000,30000
河南师范大学,7,148,1008080ec453c1b4769cdc6d9c4eb6f617f0fa,70000,50000
聊城大学,7,149,10080825a6e7aa662138bb23b6eff5f2622b2e,50000,150000
太原理工大学,7,150,10080843196867765802cb119ca23324bc8602,20000,30000
安阳师范学院,7,151,100808f786190ae5a77332d16aacbfb2e19bc2,10000,30000
河北大学,7,152,100808d72114b5f49cbbe779dca7157a1b2086,30000,60000
淮阴师范学院,7,153,1008083eb7d9a919e8146b0908815d6ba7d7af,20000,20000
信阳师范学院,7,154,100808558975ebbcdca9c19fd1bc3c338136db,20000,30000
吉林大学,7,155,10080811019248276fc0013950f3b9c1dd1b0a,20000,40000
